['10.0.0.4', '10.0.0.2']
3
iteration 0, phase 0, node 3, test accuracy = 63.32%
iteration 1, phase 0, node 3, test accuracy = 70.85%
iteration 2, phase 0, node 3, test accuracy = 74.37%
iteration 3, phase 0, node 3, test accuracy = 75.88%
iteration 4, phase 0, node 3, test accuracy = 77.89%
iteration 5, phase 0, node 3, test accuracy = 78.39%
iteration 6, phase 0, node 3, test accuracy = 79.90%
iteration 7, phase 0, node 3, test accuracy = 80.90%
iteration 8, phase 0, node 3, test accuracy = 80.90%
iteration 9, phase 0, node 3, test accuracy = 81.41%
iteration 10, phase 0, node 3, test accuracy = 81.91%
iteration 11, phase 0, node 3, test accuracy = 81.91%
iteration 12, phase 0, node 3, test accuracy = 81.91%
iteration 13, phase 0, node 3, test accuracy = 81.91%
iteration 14, phase 0, node 3, test accuracy = 82.41%
iteration 15, phase 0, node 3, test accuracy = 82.41%
iteration 16, phase 0, node 3, test accuracy = 82.41%
iteration 17, phase 0, node 3, test accuracy = 82.91%
iteration 18, phase 0, node 3, test accuracy = 82.91%
iteration 19, phase 0, node 3, test accuracy = 82.91%
iteration 20, phase 0, node 3, test accuracy = 82.91%
iteration 21, phase 0, node 3, test accuracy = 82.91%
iteration 22, phase 0, node 3, test accuracy = 82.91%
iteration 23, phase 0, node 3, test accuracy = 82.91%
iteration 24, phase 0, node 3, test accuracy = 82.91%
iteration 25, phase 0, node 3, test accuracy = 82.91%
iteration 26, phase 0, node 3, test accuracy = 82.91%
iteration 27, phase 0, node 3, test accuracy = 82.91%
iteration 28, phase 0, node 3, test accuracy = 82.91%
iteration 29, phase 0, node 3, test accuracy = 82.91%
iteration 30, phase 0, node 3, test accuracy = 82.91%
iteration 31, phase 0, node 3, test accuracy = 82.91%
iteration 32, phase 0, node 3, test accuracy = 82.41%
iteration 33, phase 0, node 3, test accuracy = 82.41%
iteration 34, phase 0, node 3, test accuracy = 83.42%
iteration 35, phase 0, node 3, test accuracy = 83.42%
iteration 36, phase 0, node 3, test accuracy = 83.42%
iteration 37, phase 0, node 3, test accuracy = 83.42%
iteration 38, phase 0, node 3, test accuracy = 83.42%
iteration 39, phase 0, node 3, test accuracy = 83.42%
iteration 40, phase 0, node 3, test accuracy = 83.42%
iteration 41, phase 0, node 3, test accuracy = 83.42%
iteration 42, phase 0, node 3, test accuracy = 83.42%
iteration 43, phase 0, node 3, test accuracy = 83.42%
iteration 44, phase 0, node 3, test accuracy = 83.42%
iteration 45, phase 0, node 3, test accuracy = 83.42%
iteration 46, phase 0, node 3, test accuracy = 83.42%
iteration 47, phase 0, node 3, test accuracy = 83.42%
iteration 48, phase 0, node 3, test accuracy = 83.42%
iteration 49, phase 0, node 3, test accuracy = 83.42%
iteration 0, phase 1, node 3, test accuracy = 64.82%
iteration 1, phase 1, node 3, test accuracy = 69.35%
iteration 2, phase 1, node 3, test accuracy = 73.87%
iteration 3, phase 1, node 3, test accuracy = 76.38%
iteration 4, phase 1, node 3, test accuracy = 78.39%
iteration 5, phase 1, node 3, test accuracy = 80.40%
iteration 6, phase 1, node 3, test accuracy = 80.90%
iteration 7, phase 1, node 3, test accuracy = 81.41%
iteration 8, phase 1, node 3, test accuracy = 81.91%
iteration 9, phase 1, node 3, test accuracy = 82.91%
iteration 10, phase 1, node 3, test accuracy = 82.91%
iteration 11, phase 1, node 3, test accuracy = 83.42%
iteration 12, phase 1, node 3, test accuracy = 82.91%
iteration 13, phase 1, node 3, test accuracy = 82.91%
iteration 14, phase 1, node 3, test accuracy = 82.91%
iteration 15, phase 1, node 3, test accuracy = 82.91%
iteration 16, phase 1, node 3, test accuracy = 83.42%
iteration 17, phase 1, node 3, test accuracy = 83.42%
iteration 18, phase 1, node 3, test accuracy = 83.42%
iteration 19, phase 1, node 3, test accuracy = 83.92%
iteration 20, phase 1, node 3, test accuracy = 83.92%
iteration 21, phase 1, node 3, test accuracy = 83.92%
iteration 22, phase 1, node 3, test accuracy = 84.42%
iteration 23, phase 1, node 3, test accuracy = 84.42%
iteration 24, phase 1, node 3, test accuracy = 84.42%
iteration 25, phase 1, node 3, test accuracy = 84.92%
iteration 26, phase 1, node 3, test accuracy = 84.92%
iteration 27, phase 1, node 3, test accuracy = 84.92%
iteration 28, phase 1, node 3, test accuracy = 84.92%
iteration 29, phase 1, node 3, test accuracy = 84.92%
iteration 30, phase 1, node 3, test accuracy = 84.92%
iteration 31, phase 1, node 3, test accuracy = 84.92%
iteration 32, phase 1, node 3, test accuracy = 84.92%
iteration 33, phase 1, node 3, test accuracy = 84.92%
iteration 34, phase 1, node 3, test accuracy = 84.92%
iteration 35, phase 1, node 3, test accuracy = 85.43%
iteration 36, phase 1, node 3, test accuracy = 85.43%
iteration 37, phase 1, node 3, test accuracy = 85.43%
iteration 38, phase 1, node 3, test accuracy = 85.43%
iteration 39, phase 1, node 3, test accuracy = 84.42%
iteration 40, phase 1, node 3, test accuracy = 84.42%
iteration 41, phase 1, node 3, test accuracy = 84.42%
iteration 42, phase 1, node 3, test accuracy = 84.42%
iteration 43, phase 1, node 3, test accuracy = 84.42%
iteration 44, phase 1, node 3, test accuracy = 84.92%
iteration 45, phase 1, node 3, test accuracy = 84.92%
iteration 46, phase 1, node 3, test accuracy = 84.92%
iteration 47, phase 1, node 3, test accuracy = 84.92%
iteration 48, phase 1, node 3, test accuracy = 84.92%
iteration 49, phase 1, node 3, test accuracy = 84.92%
iteration 0, phase 2, node 3, test accuracy = 67.84%
iteration 1, phase 2, node 3, test accuracy = 70.85%
iteration 2, phase 2, node 3, test accuracy = 73.37%
iteration 3, phase 2, node 3, test accuracy = 75.38%
iteration 4, phase 2, node 3, test accuracy = 77.39%
iteration 5, phase 2, node 3, test accuracy = 77.89%
iteration 6, phase 2, node 3, test accuracy = 79.40%
iteration 7, phase 2, node 3, test accuracy = 79.40%
iteration 8, phase 2, node 3, test accuracy = 79.90%
iteration 9, phase 2, node 3, test accuracy = 80.40%
iteration 10, phase 2, node 3, test accuracy = 80.90%
iteration 11, phase 2, node 3, test accuracy = 80.90%
iteration 12, phase 2, node 3, test accuracy = 80.90%
iteration 13, phase 2, node 3, test accuracy = 81.91%
iteration 14, phase 2, node 3, test accuracy = 82.41%
iteration 15, phase 2, node 3, test accuracy = 82.91%
iteration 16, phase 2, node 3, test accuracy = 82.91%
iteration 17, phase 2, node 3, test accuracy = 82.41%
iteration 18, phase 2, node 3, test accuracy = 82.41%
iteration 19, phase 2, node 3, test accuracy = 82.91%
iteration 20, phase 2, node 3, test accuracy = 83.42%
iteration 21, phase 2, node 3, test accuracy = 83.92%
iteration 22, phase 2, node 3, test accuracy = 83.92%
iteration 23, phase 2, node 3, test accuracy = 83.92%
iteration 24, phase 2, node 3, test accuracy = 83.92%
iteration 25, phase 2, node 3, test accuracy = 84.42%
iteration 26, phase 2, node 3, test accuracy = 84.92%
iteration 27, phase 2, node 3, test accuracy = 84.92%
iteration 28, phase 2, node 3, test accuracy = 84.92%
iteration 29, phase 2, node 3, test accuracy = 84.92%
iteration 30, phase 2, node 3, test accuracy = 84.92%
iteration 31, phase 2, node 3, test accuracy = 84.92%
iteration 32, phase 2, node 3, test accuracy = 84.92%
iteration 33, phase 2, node 3, test accuracy = 84.92%
iteration 34, phase 2, node 3, test accuracy = 84.92%
iteration 35, phase 2, node 3, test accuracy = 85.43%
iteration 36, phase 2, node 3, test accuracy = 85.43%
iteration 37, phase 2, node 3, test accuracy = 85.43%
iteration 38, phase 2, node 3, test accuracy = 85.43%
iteration 39, phase 2, node 3, test accuracy = 85.43%
iteration 40, phase 2, node 3, test accuracy = 85.43%
iteration 41, phase 2, node 3, test accuracy = 85.43%
iteration 42, phase 2, node 3, test accuracy = 85.43%
iteration 43, phase 2, node 3, test accuracy = 84.92%
iteration 44, phase 2, node 3, test accuracy = 85.43%
iteration 45, phase 2, node 3, test accuracy = 85.43%
iteration 46, phase 2, node 3, test accuracy = 85.43%
iteration 47, phase 2, node 3, test accuracy = 85.43%
iteration 48, phase 2, node 3, test accuracy = 85.43%
iteration 49, phase 2, node 3, test accuracy = 84.92%
iteration 0, phase 3, node 3, test accuracy = 70.85%
iteration 1, phase 3, node 3, test accuracy = 73.87%
iteration 2, phase 3, node 3, test accuracy = 77.39%
iteration 3, phase 3, node 3, test accuracy = 78.89%
iteration 4, phase 3, node 3, test accuracy = 79.90%
iteration 5, phase 3, node 3, test accuracy = 80.90%
iteration 6, phase 3, node 3, test accuracy = 81.41%
iteration 7, phase 3, node 3, test accuracy = 81.41%
iteration 8, phase 3, node 3, test accuracy = 82.41%
iteration 9, phase 3, node 3, test accuracy = 83.92%
iteration 10, phase 3, node 3, test accuracy = 83.92%
iteration 11, phase 3, node 3, test accuracy = 83.92%
iteration 12, phase 3, node 3, test accuracy = 84.42%
iteration 13, phase 3, node 3, test accuracy = 84.42%
iteration 14, phase 3, node 3, test accuracy = 84.42%
iteration 15, phase 3, node 3, test accuracy = 84.42%
iteration 16, phase 3, node 3, test accuracy = 84.42%
iteration 17, phase 3, node 3, test accuracy = 84.42%
iteration 18, phase 3, node 3, test accuracy = 84.42%
iteration 19, phase 3, node 3, test accuracy = 84.92%
iteration 20, phase 3, node 3, test accuracy = 84.92%
iteration 21, phase 3, node 3, test accuracy = 84.92%
iteration 22, phase 3, node 3, test accuracy = 85.43%
iteration 23, phase 3, node 3, test accuracy = 85.93%
iteration 24, phase 3, node 3, test accuracy = 85.93%
iteration 25, phase 3, node 3, test accuracy = 85.93%
iteration 26, phase 3, node 3, test accuracy = 85.93%
iteration 27, phase 3, node 3, test accuracy = 85.93%
iteration 28, phase 3, node 3, test accuracy = 85.93%
iteration 29, phase 3, node 3, test accuracy = 85.93%
iteration 30, phase 3, node 3, test accuracy = 86.43%
iteration 31, phase 3, node 3, test accuracy = 86.43%
iteration 32, phase 3, node 3, test accuracy = 86.43%
iteration 33, phase 3, node 3, test accuracy = 86.43%
iteration 34, phase 3, node 3, test accuracy = 86.43%
iteration 35, phase 3, node 3, test accuracy = 86.43%
iteration 36, phase 3, node 3, test accuracy = 86.43%
iteration 37, phase 3, node 3, test accuracy = 86.43%
iteration 38, phase 3, node 3, test accuracy = 86.43%
iteration 39, phase 3, node 3, test accuracy = 86.43%
iteration 40, phase 3, node 3, test accuracy = 86.93%
iteration 41, phase 3, node 3, test accuracy = 86.93%
iteration 42, phase 3, node 3, test accuracy = 86.93%
iteration 43, phase 3, node 3, test accuracy = 86.43%
iteration 44, phase 3, node 3, test accuracy = 86.43%
iteration 45, phase 3, node 3, test accuracy = 86.43%
iteration 46, phase 3, node 3, test accuracy = 86.43%
iteration 47, phase 3, node 3, test accuracy = 86.43%
iteration 48, phase 3, node 3, test accuracy = 86.43%
iteration 49, phase 3, node 3, test accuracy = 86.43%
iteration 0, phase 4, node 3, test accuracy = 69.35%
iteration 1, phase 4, node 3, test accuracy = 74.37%
iteration 2, phase 4, node 3, test accuracy = 74.87%
iteration 3, phase 4, node 3, test accuracy = 75.38%
iteration 4, phase 4, node 3, test accuracy = 76.38%
iteration 5, phase 4, node 3, test accuracy = 78.89%
iteration 6, phase 4, node 3, test accuracy = 80.40%
iteration 7, phase 4, node 3, test accuracy = 80.40%
iteration 8, phase 4, node 3, test accuracy = 80.90%
iteration 9, phase 4, node 3, test accuracy = 82.41%
iteration 10, phase 4, node 3, test accuracy = 83.92%
iteration 11, phase 4, node 3, test accuracy = 83.92%
iteration 12, phase 4, node 3, test accuracy = 84.42%
iteration 13, phase 4, node 3, test accuracy = 84.92%
iteration 14, phase 4, node 3, test accuracy = 84.92%
iteration 15, phase 4, node 3, test accuracy = 84.92%
iteration 16, phase 4, node 3, test accuracy = 84.92%
iteration 17, phase 4, node 3, test accuracy = 84.92%
